,index,comments,like,dislike,predict,percent,truelike,wholelike
0,0,전형적인 지부동 공먼 스퇄......문씨보다 더 답답한 고구마 스타일.......ㅠ,1,0,0,1.31,1,1
1,1,사기치고 있는 민주당은 아웃이다,1,0,0,2.43,1,1
2,2,일 잘하는 놈은 두자. OOO 거지같은 것들도 많은데 거기나 신경쓰자.,0,0,0,4.42,0,0
3,3,물총리  눈이있어도 입이있어도 청와대에게는 바보 물총리...,1,1,0,16.28,2,0
4,4,"그래봤자, 전라도에 의한, 전라도의, 전라도를 위한 총리일뿐....그 이상 이하도 아니다....전라도 지지율 믿고 건방떨지 마라",2,1,0,0.49,3,1
5,5,지가 뭐라도 된 듯. 못난 놈,0,0,0,9.57,0,0
6,6,진정한 차기 대통령감이다. 정무감각도 훌륭하고 인품이나 언변 뭐 하나 빠지는 부분이 없음.,3,2,1,99.84,5,1
7,7,책임 총리제가 되었다면 대통령과 임기를 같이하는 것이다. 총리를 국회에서 추천하는 개헌을 해야 할 것 같다.,1,0,1,62.67,1,1
8,8,최장수 전라도 얼굴 마담이지. 한 일이 뭐냐?,3,1,0,14.37,4,2
9,9,댓글알바 심각하네,0,0,0,2.72,0,0
10,10,"나라 개판 쳐 놓고, 총선 나온다고, 지나가는 소가 웃을 일이다.",1,0,0,0.6,1,1
11,11,천년묵은 구렁이 느낌,0,0,0,26.84,0,0
12,12,수고하셨고 앞으론 안 뵈었음 합니다,1,0,1,95.24,1,1
13,13,그나마 문대통령님의 그릇이 크니까 전적인 권한위임을 해서  이렇게 오래 포용하는거지. 쥐나 503같은 쫌팽이들은 허수아비들이나 세워두었지.,0,0,0,1.49,0,0
14,14,사람이 얼마나 없으면...,1,1,0,10.95,2,0
15,15,항상 겸손하신 모습에 놀라고 왜 이제야 나온신겁니까..국내에서 볼수없는 정치인은 확실하다..,3,5,1,86.1,8,-2
16,16,마치 국가에 충성하는것처럼 꾸미고있네  니몸을  니마음데로 못하면 산에 누운 송장이란  말인가잘못된정권을 바로잡을  생각은 않고 눈깔통 똥꾸에 주디박고 빨아되는  꼬라지 전형적인  귀향지  종자의  행태다,3,0,0,0.16,3,3
17,17,이낙연이 대통령 되면 이민 간다.,3,2,0,23.24,5,1
18,18,최소한 의전에 취한 삭발쟁이처럼 굴진 않을거라 믿소,0,1,1,95.13,1,-1
19,19,당신은 이미 흉하고 멋대로 총리짓했다!!,2,0,0,8.99,2,2
20,20,핫바지..느낌을 이제서야  알았다..ㅉㅉ,2,0,1,74.88,2,2
21,21,이낙연은 이제 친문이다. 총리를 안했다면 몰랐을텐데 정말 품격 높은 정치인이라고 생각한다,3,4,1,54.63,7,-1
22,22,자유당 대표 워래대표 그이하 똘마니들 세금만 축내고 일년내내 뭐했냐~ㅇㅇㅇ들아 우리집 똥개는 집이라도 지키지~일좀해라 ㅇㅇㅇ들아,2,2,0,0.96,4,0
23,23,단군이래 최대 공산당 민주당과 정의당은 이번 국회의원 선거에서 나라망친 죗값으로 폐당 되리,3,0,0,0.36,3,3
24,24,한게 뭐있니 ?,0,0,0,34.42,0,0
25,25,"그간 삶의 궤작, 제도권안애서의 교육, 월급쟁이 경험, 정치 경험, 행정 경험., 진증한 인품 ...차기로 마땅하다.",4,2,1,99.94,6,2
26,26,깜도 안되면서... 귀농이나하시오.,1,2,0,9.2,3,-1
27,27,음흉한능구렁이,4,1,0,48.34,5,3
28,28,댓글들 멋지네 늙음 죽어야지...,0,1,1,80.05,1,-1
29,29,흉한거 잘 알고있네 흉하다 흉해 조국 궤변으로 옹호하던 모습,2,2,1,85.37,4,0
30,30,가만히 있음 중간이라도 가지...조국사태때  남자 검찰들이 여자들만 있는집에  들어가 압수수색 하고  짜장시켜먹었다고  가짜뉴스 전파해서...머리텅텅 빈거 알게됨.. 이제  안봤음 좋겠음!,7,3,1,55.87,10,4
31,31,유령총리ㆍ식물총리있으나 마나 존재감이 없는 총리 오래해서뭐할꼬이름만 더럽히지,1,1,0,10.76,2,0
32,32,이낙년이 간다고 해서 달라지는 건 하나도 없을텐데,2,1,0,41.21,3,1
33,33,역시  대통령감이네요.  서민을 생각해주심  감사,2,3,1,97.82,5,-1
34,34,괴뢰 문재인이 망가졌으니 주인이 직접 전면에 나설 때가 되지 않았나?,0,0,0,11.49,0,0
35,35,토착왜구ㅋㅋㅋㅋㅋㅋ,0,0,0,33.71,0,0
36,36,이낙연을 한마디로 표현하라면 의뭉스럽다라고 하고프네요.,0,0,0,11.14,0,0
37,37,업적 세금축내기 돈퍼줘서 인심 쌓기 ㅋㅋ,0,0,0,16.2,0,0
38,38,능구렁이가 수백마리는 들어앉아있을것같네  바른소리하나 안하고 자빠져있는데 뭔자랑질이냐,1,1,0,1.02,2,0
39,39,넌 그냥 흉해,0,0,0,5.57,0,0
40,40,엉큼하고 잔인한 이기주의자 가면을 벗겨야 부산의전아들,1,2,0,0.73,3,-1
41,41,모든 여권 꽂아 놓아도 나라가 이 모양이면 실패작,0,0,0,2.13,0,0
42,42,계속 총리직에 계시길,0,0,1,83.12,0,0
43,43,좋은것만할려고했어요?,0,0,0,27.49,0,0
44,44,동생 연루된거 조사 받아야죠?,0,0,0,25.97,0,0
45,45,워낙 안정적이고 신중하셔서 ㅠㅠ 참 지금 민주당 어쩐데 ㅠㅠ,0,0,1,73.52,0,0
46,46,업적이 없으니 내려올 일이 없지ㅋㅋ,0,0,0,25.73,0,0
47,47,나도 이낙연 총리에게 한표!,5,0,1,83.07,5,5
48,48,누가보면 유능해서 총리 된듯,3,0,1,68.46,3,3
49,49,헛바지 아니가  그만큼  사람이 민주당엔 없다는 증거야   진정한 진보가답인데  그당에는 없다는거지,0,1,1,93.17,1,-1
50,50,조중동의 센터 중찌라시 벌레3집합소,1,0,0,17.92,1,1
51,51,중앙 찌라시 제목으로 장난 그만 해라~ 마이 묵으따이가?!,1,0,0,0.06,1,1
52,52,제일 무능한 총리  장수 할수밬에 내시형  가만히  쫄쫄 쫏아다녓네요  멍청하다못해  간신형,0,1,0,17.53,1,-1
53,53,무능한 민주당 국회의원들아 다른사람 그늘에 숨어서 국회의원 하려말고 일이나 잘해라 너희는 틀렸오!,1,1,1,99.0,2,0
54,54,겸손하고 진정성 있고 차분하고 총리로서 정치인으로서 저정도 인물을 찾기가 힘들죠,5,4,1,96.82,9,1
55,55,총리님 일왕 만나서 좋았음?,1,0,1,78.83,1,1
56,56,나는 이낙연총리 맘에든다 뭔가 진중하고 진지하고 특히 카리스마가 일품이지 절대로 화내지않는 냉정하게 판단하는 이낙연 기억하고 있겠음.,6,3,1,100.0,9,3
57,57,"가짜평화팔이 안보파괴, 대북제제위반 이적행위, 한미동맹파괴, 기업적대시,법인세,최저임금 급격인상과 소득주도니 뭐니 하는 생산성증가 없이 부자돈 뺏어 저소득자에게 뿌려 경제가 활성화시킨다는 미친짓으로 제조업, 자영업폭망시키고, 대일외교파괴로 산업파괴위기에 북괴처럼 자력갱생떠들고,혈세80조넘게 쓰고 일자리는 박멸시키고, 노인공공알바 수십만개 만들어 통계조작하고!! 결국 세금 몇십만원에 의지하며 살게해 가난한 인간들 더 증가시켜 정부의존도높여 장기집권하려는 종북사회주의 문두로정부와 더불어공산당!! 정신차리고 총선투표로 모두 몰아내자!",2,2,0,0.0,4,0
58,58,아마 절라도. 광주에서 나올걸,0,0,0,2.57,0,0
59,59,그나물에 그밥인데 이곳도 희망없다. 내년 총선에 누굴찍을까? 아베나 찍을까?,0,0,0,4.67,0,0
60,60,현정부의 국정 운영이 개판인데 그 개판을 안정적으로 이끌었다는 뜻인가요? 진짜 몰라서 물어보는거에요,2,0,0,0.01,2,2
61,61,친노 순혈주의에 정동영이 희생되었듯이 친문 순혈주의에 이낙연이 희생될 가능성이 높다 더러운 친노친문의 영남패권주의,1,0,0,1.25,1,1
62,62,전라도 총리답네,0,0,0,28.57,0,0
63,63,소위 친문 친노 순혈주의자들은 이제 자신들만의 힘으로는 더 이상 안정된 정권 유지도 재창출도 어렵다는 것을 깨달아야 한다. 고착된 사고의 틀을 깨지않는 한 민주당 정권의 장기적 생존을 위한 비전이 나오기 어렵다.,0,0,1,99.3,0,0
64,64,또. 기사거리.만드는군? ...ㅋ.ㅋ언론 .....공정하자.. ....지금 ..겡제가난리인데..ㅈ경제관런...기사좀내고. .정부대책에대하여.기사내고...논평좀해라.... .언론중립해라..총선은. 내년이다.... .지금 ..이런내용은..오해소지있다..,0,0,0,46.64,0,0
65,65,사상 검증이 안된 분이어서 아직은 아닌것 같네요~~문재인 정권 하에 그나마 총리로서 역활은 잘 하셨는데 사상과 한쪽으로 편향적인 정치 색깔이 아직은 전국민에게는 아닌것 같습니다~~사회주의 공산주의 사상을  가진 분은 이나라에 주인이 될수 없습니다 ㅋ,2,1,0,16.16,3,1
66,66,저ㅅㅋ는 강원도 산불 민둥산될때까지 다타서 불이 꺼졌을때 지 일 잘했다고 자화자찬하는데 쇼하는게 뻔히 보이더라,1,1,0,1.68,2,0
67,67,우와 대단하다. 난 조국 집  압수수색할 때 '여성 두 분만 계신데.....'어쩌구 할 때 아니더만....,1,0,1,98.92,1,1
68,68,지지율 회복세라며...왜그러지?,0,0,0,15.79,0,0
69,69,조국하고 유시민 물 건너가니 차기 대권후보라 판단하고 미리 줄서기하는거 보소.,0,1,1,90.01,1,-1
70,70,자한당이든 민주당이든 경상도 출신은 이젠 대통령 그만 해먹었으면 좋겠다.,0,1,0,3.49,1,-1
71,71,그래 어벙하고 사이비 경상도 애앞세워 대통령만들고 뛰어내리게 하지말고 완전한 촛빨홍어순종을 내보내라. 확실하게 정동영[2]로 만들어 줄께. 어서 나와라.,0,1,0,0.21,1,-1
72,72,이제 총리까지 끌어내리라히네,0,0,0,32.02,0,0
73,73,토착왜구 자한당이  없어지면  우리나라  좋은나라~~~검찰   언론  개혁공수처  설치해서  비리  검새  판새  국개들  처벌하자,1,7,0,21.52,8,-6
74,74,민주당 문어벙 진짜 아웃시키고 싶다,3,2,0,1.53,5,1
75,75,"무능 ,파렴치,막무가내,무책임. 표플리즘,이상성애자,공산주의자들 모임 = 더불어 공산당",10,1,0,3.68,11,9
76,76,이낙연은 제2의 정동영이지 호남만 벗어나면 바보가 되는,4,2,0,17.21,6,2
77,77,애초에 일본어 써가면서 일본에 아첨할꺼면 반일선동을 하지 말던가 이제와서,4,1,0,0.3,5,3
78,78,기레기가..어디서 이간질하고있어..카악~퇫!,0,1,1,74.56,1,-1
79,79,전남도지사 복직 하세요,2,0,0,29.82,2,2
80,80,내각을 관리하는 책임총리로서  잘한게 뭐지.비리가많은 조국을 감싸주고. 짤릴까싶어 문재인 눈치나보고 그러니까 총리는 오래해먹네. 양심이 있어라,5,0,1,90.15,5,5
81,81,꼴래  이낙연  간첩 쓰레기 민주당 끝났다,0,0,0,0.62,0,0
82,82,노쇼찬이 꺼져야지.,1,0,0,15.93,1,1
83,83,전라도 투표권 없애라,2,1,0,41.01,3,1
84,84,간신배자기소신도혼도조국위해팔아버리갈대에마음 줄잘서는되는이사람따라갈사람었지 이사람과거를보면잘알것니다,0,0,1,99.94,0,0
85,85,문재인보다 이낙연이 대세네? ㅋㅋ,0,0,0,7.31,0,0
86,86,차기 대선주자 만드려고 언플 존나게 해대네,1,0,0,6.02,1,1
87,87,갑자기 너무 띄우네 ㅋㅋㅋ 역풍에 베팅할 정도로 힘들구나 좌익들 ㅋㅋ,4,0,0,5.39,4,4
88,88,문도 자기처럼 사랑받는 사람 없을꺼라 하고...이상하다 얘네들은ㅋㅋㅋ,1,0,0,15.37,1,1
89,89,자기 주군 박근혜 내팽개친 황교안 보단 훨 낫다!! 그래놓고 박정희의 정신을 이어받는단다!! 정말 기가 막힐 노릇이다!,0,1,0,15.6,1,-1
90,90,원래 레임덕 시작되면 차기 후보 떠오른다...뭐 그들만의 리그겠지만~~ 포케페이스로  자리보존형 스타일이라 밥맛~강력한 카리스마가 없다..주변국 수장들은 다 한 성격 하는데...문가마냥 허헣 그러고 다닐듯..,0,0,0,0.51,0,0
91,91,아니 ㅋㅋ 이낙연이 선대위 맡으면 대체 뭐가 달라지는데? 진짜 이해안되네 ㅋㅋ 후임 총리 누구 정하느냐에 따라서 지지율 더 곤두박질 칠 거라는 생각은 안드냐? ㅋ 니들은 문재인 탈당시키는게 더 나을거다.,2,0,0,2.93,2,2
92,92,또 민주당출신 대통령나오면  이나라그냥 없어질듯 농업국가로 돌아갈듯..,4,0,1,50.17,4,4
93,93,이낙연은 친일파인데 니들 친일파할래? 다불어당아.,2,0,0,7.15,2,2
94,94,이낙연이 온다고 보수가 승리할거라고 생각하니?,0,1,1,83.82,1,-1
95,95,정신 나간 민주당 돌대가리들.이낙연총리가 입당하면 국민들이 너희들을 바라보는 국민의 시선이 바뀔것 같냐?이낙연은 개인으로 호감들을 가지는 겨야.착각 하지들 마라.너희들은 이미 난파선에 승선해. ㅣ,2,0,0,47.63,2,2
96,96,함박도가 북한 땅이라고 당당하게 말하던지일파 정치가,3,0,0,43.39,3,3
97,97,일반적으로 제도를 고치면 이익손해 보는 자가 생기므로 제도개선전 충분한 논의 및 경과기간을 두는게 당연하다. 그런데 선거제도를 고쳐 바로 적용하는 건 누군가 이익을 노리는 작전이 명확하다. 왜 이리 선거법을 급히 고치려는지 속이 뻔히 드려다 보인다. 정의당 의석늘려 게슈타포 공수처 만들고자 하는 것 아닌가?,1,0,0,0.0,1,1
98,98,쩝쩝 낙여나 ~너 가고나니 술친구가 없다. 얼릉내려와라 쩝쭵,1,0,0,37.49,1,1
99,99,일왕 앞에서 아주 유창한 일본어 구사하시면서 일왕 앞에서 토착왜구의 자존심을 살려준 우리 낙베 ㅋ,0,0,0,42.69,0,0
100,100,"꿈깨라!! 개낙연이도 범죄자다!  여자 2명 있는집 운운하며 기생충가족 범죄은닉죄, 하위사실 유포죄 모두 철저히 조사해서 콩밥 먹여야 한다!!",2,0,0,0.17,2,2
101,101,선거제도를 고쳐 바로 적용하는 건 누군가 이익을 노리는 작전이 명확하다. 왜 이리 선거법을 급히 고치려는지 속이 뻔히 드려다 보인다. 정의당 의석늘려 게슈타포 공수처 만들고자 하는 것 아닌가?,2,0,0,0.01,2,2
102,102,눈빛과 목소리에서 흔들림이 없어. 신뢰가 가는 인물.,0,1,1,62.17,1,-1
103,103,"한국이 경제성장이 2%도 않되는 나라로 만든 적와대와 더불어 민좆당놈들의 경제 실정으로 자영업이나, 국가 경쟁력을 완전 사회주의식 전략으로 파일을 키워야 나라가 성장하는데, 파일자체를 없에는 정책으로 나라경제가 완전폭망수준으로 2년만에 완전 거덜낸 놈들이 정권을 다시 잡는다, 완전 베네수엘라를 넘어 북괴수준으로 만들려고, 미친 OOO들이 나라를 거덜내고 있다, 최고의 기술인 원전을 포기하고, 모든 경제원리를 실패한 사회주의 경제 체제로 만들어 전세계가 자본주의 나라경제로 진입하는데, 러시아, 중공, 북괴밖에 없는 사회주의로 진입시도",1,0,0,0.14,1,1
104,104,이인간도 똑같이  ㆍ민좃당 안찍는다ㆍ,2,0,0,42.23,2,2
105,105,벌써 이낙연을 대통령후보로  끼어 맞추는데 당내경선도  통과 못할걸   총선이든 대선이든 라도애들은 이해득실에 밝아서 자한당을 꺽으려면 라도 출신 후보로는 약하다는걸 알거고 결국은 다른 후보를 선택할수 밖에 없지    노무현  문재인 대통령이  좋은 예잖아,1,0,0,0.34,1,1
106,106,말하지않아도 품격이 넘쳐나고 덕이있으니 사람이 모여든다.. 이런분이 나라의 지도자상이다.,0,2,1,86.98,2,-2
107,107,대통령제 하에 허수아비 국무총리 누가 못하랴!국무총리때하고 총선땐 다를 것이다!이번 총선 곡소리 날것이다!경제 외교 국방 남남갈등 등등 제대로 한게 뭐있냐?,1,1,1,87.44,2,0
108,108,낙베새킈가 한일이 뭐있냐?ㅋㅋㅋ대통령눈치 보면서 조국 새킈 가짜 뉴스로 비호한거?ㅋㅋㅋ,2,0,0,16.78,2,2
109,109,"이낙연이 니네들 구세주냐? 존재감없는  당신들 때문이지. 우상호,이재정,박주민의원 등등 몇명 빼고 세비가 아깝다.",0,0,0,4.61,0,0
110,110,이사람 비리만만챦을것이다   발목잡히는건시간문제같은데......,1,2,1,87.43,3,-1
111,111,"와서 선대위 맡으라고? 전권을 주고, 비대위를 맡는게 아니고? 수도권 누구냐? 양심도 없는 것들이네. 단물만 빼먹고, 뒤치닥거리 떠넘기는 놈들이네.",0,0,0,1.46,0,0
112,112,이 인간이 뭐라고ㅋㅋㅋ,0,0,1,82.95,0,0
113,113,불능당에 무능인이 돌아오면 뭐가 나아질려나?,0,0,0,8.95,0,0
114,114,"매국신문에 광고하는 업체 ...안보고 안찍고 안사요1) 삼성전자 -김치냉장고,  에어드레서,  건조기,   ---모두 LG 꺼 사세요2) 롯데관광  -   하나투어로 하세요3) 삼성생명 - 보험 한화생명 으로 드세요~~불매 동참해 주세요   조선일보 없는 나라에 살고 싶다",1,1,0,5.46,2,0
115,115,50대비율봐 ㅋㅋㅋㅋㅋㅋ댓글거릅니다,1,2,1,69.9,3,-1
116,116,좌파넘버투,1,0,0,23.46,1,1
117,117,졸라민국 천지네...,0,0,0,7.19,0,0
118,118,나라 꼴을 보고도 그런 이야기가 나온다니 신기하네요! 무능이2,0,0,0,45.33,0,0
119,119,우리 낙베 일본 일왕한테 90도로 인사 잘박던데 ㅋㅋ일왕찡이 매우 흡족해했지 ㅋㅋㅋㅋ,1,1,0,42.63,2,0
120,120,이낙연이 잘해서 최장수 총리가되었는가. 문재인도 그렇고 이 인간도 그렇고 박근혜 덕을 보는 인간들이지. 조국사태때 조국 편들고 일 잘 하는 검찰을 적폐몰이하는 이낙연을 보고 역시 이 인간도 안되겠구나 싶더군.,2,0,1,99.86,2,2
121,121,여론조작은 기래당에서 하잔아. 친일 언론과 개검들과함께...,0,1,0,49.95,1,-1
122,122,이낙연이 그나물에 그밥이다..더불어민주당은 폭망할 것이다..그냥 탈출해라..,1,0,0,48.06,1,1
123,123,인물이 없다는얘기네    왜 유시민 김어준데려다가 해~,1,0,0,2.73,1,1
124,124,이낙연은 대선출마 못해...노무현계가 아니라 절대 안밀어줌.,0,0,0,13.84,0,0
125,125,더민주당 국개의원들 나라 꼬라지는 안중에도없고 자기 밥그릇 챙길려고 줄서기하니ㅠ,0,0,1,93.32,0,0
126,126,우리 가족은 나를 비롯해 검찰개혁 언론개혁 친일 퇴출하는당에 한표씩,1,0,1,92.83,1,1
127,127,"그 아저씨는 물론이고, 더불당의 패거리들은 늙으나 젊으나.... 얼굴이 매번 바뀌어도 바탕과 본질은 똑같습니다.   예전 비대위로 재미봤던 수법에 질려요.  또 어디서 듣보잡 인사들 잔뜩 끌어 모아 수북이 거느리고 다니며 개혁을 했네, 인재풀이네.... 국민들이 바보가 아닙니다.",1,2,0,0.3,3,-1
128,128,더불당에서 여론조작중... 구라미터 시켜서 이낙연이 다음 대통감이라고...ㅋㅋㅋ  이런 좌파세상은 두번다시 경험하고싶지 않다...,2,1,1,72.15,3,1
129,129,이해찬 사퇴하고 이재명 퇴출시켜. 일단 이거부터 하면 선거운동도 고민해볼께요. 그거 아님 절대 안받아들임. 내 한표는 주겠지만 주변 설득은 안해줄거야. 니들이 부울경에서 이런 적극적인 당원들 없이 선거운동 가능할거 같아? 김해영 너는 내가 낙선시킨다. 두고봐라.,1,0,0,9.06,1,1
130,130,빨리 불러내 이용하고 팽할려고 그러지? 안돼요 안돼. 우리 이낙연 총리님을 그리 싸게 이용하려 마세요.문씨 일파들아 너희들에게 안 속는다. 절대로.,0,0,0,3.92,0,0
131,131,겉과속이 다른 이중.  진짜싫다!  이런사람,1,0,0,18.04,1,1
132,132,돌아오면 뭐가 바뀔거 같지 염병하네 달라지는거 없어 왜냐고 다 똑같은 넘들이니까 ㅋㅋ,1,0,0,2.84,1,1
133,133,이낙연이 더불당 대통후보되면 좋겠다 PK 지역에서 몇퍼센트 지지율 얻을지 흥미진진하네ㅋㅋ,1,0,1,99.7,1,1
134,134,그냥 악수만하지 니도 모르게 고개가 숙여지디 일왕한테? 에라이,2,0,0,4.95,2,2
135,135,말만 지금 점잖게 한다고 국민들이 속냐? 똑같은 놈인데,3,0,0,11.42,3,3
136,136,새인꼬라지하고는 아베하고 같은혈육인줄알았네 더럽게 재수없게생겨쳐먹으신것같으니라고,0,0,0,4.09,0,0
137,137,오우~~~ 낙베아재 인기 좋은가보네!!,0,0,1,99.85,0,0
138,138,돌아오면? 달라지는게 있을까봐?,0,0,1,72.57,0,0
139,139,패잔병 무리에 누가 들어가고 싶어 하겠누 ㅋㅋㅋ,0,0,0,10.0,0,0
140,140,민주당의 유일한 희망이지...,0,2,1,84.82,2,-2
141,141,지금 장점 의 광주 연관 민주당이  모이기 요청하네,0,0,0,2.13,0,0
142,142,조국딸과 저 인간 아들의 진학 테크트리가 의아스럽게도 거의 같음.....외고. 이공계대. 부산의전원.....반드시 철저한 수사해야함.,0,0,1,97.92,0,0
143,143,도대체 이새끼가 뭘했다고 대선주자1위임? 문재앙은 시체라도 잘 팔아쳐먹었지 이새끼는 정치적 업적이 뭐가 있음?,0,0,0,3.59,0,0
144,144,"이시대   이런   인품과  세계관  ,  경제관 리드십  , 국제관  두루  갖춘 보기드문 인물  이지   현재도  잘하고 미래도 잘할것이고ᆢ그래서  나라의  미래가  있어",0,3,1,99.98,3,-3
145,145,이낙연 총리님을 문씨 일파가 이용만 하고 팽할려고 하니 이용 당하면 안됀다.절대적으로 이낙연 총리님을 지켜야하는 사명을 전라인들은 알고 두눈 부릅뜨고 문씨 일파의 행동을 감시해야한다.,0,0,0,12.06,0,0
146,146,그러는 자유당엔 인물 있냐?? ㅎㅎㅎ,0,0,1,78.38,0,0
147,147,댓글 더러워.... 중앙일보에 어울리는 댓글들이네,0,0,0,16.5,0,0
148,148,ㄴㆍ스,0,0,1,84.98,0,0
149,149,나라 엉망진창의 책임있는 나팔수 총리를 이리도 띠우는 이유가 뭐지??  난 이해가 안간다,1,0,0,0.04,1,1
150,150,인물이 그리도 없나? 새벽인력시장만도 못한 한심한 인력풀.,2,0,0,0.17,2,2
151,151,이낙연에 속지마세요.음흉한 전라도인에 불과함.,2,0,0,3.47,2,2
152,152,차기 대통령으로써 빚나는 행보. 지지합니다.,0,2,0,33.43,2,-2
153,153,일본과 악수  신청하고  분이 민주당으로 가는구나 글세 그동안 여러 조국 선택 처음 문 에  여러 내용을 하지 않았나,0,0,1,99.27,0,0
154,154,조국 집을 압수수색할때 여자둘만 있는집에 들어가서 어쨋니 저쨋니~~ 안쪽팔리냐 이낙연??,0,0,0,49.53,0,0
155,155,친일 낙베는 정권 바꾸면 일본으로 망명해야할 처지인데,0,1,0,31.29,1,-1
156,156,근데 아드님도 조민하고 같은 시기에 부산 의전원 들어간게 사실인가요?,1,0,1,54.14,1,1
